idx,y,year,month_of_year,IS_WEEKEND(month),MONTH(month),WEEKDAY(month)
256,29.2,2003,5,False,5,3
257,28.9,2003,6,True,6,6
258,28.1,2003,7,False,7,1
259,28.2,2003,8,False,8,4
260,27.6,2003,9,False,9,0
261,27.6,2003,10,False,10,2
262,27.1,2003,11,True,11,5
263,26.5,2003,12,False,12,0
264,26.9,2004,1,False,1,3
265,27.6,2004,2,True,2,6
266,27.7,2004,3,False,3,0
267,28.9,2004,4,False,4,3
268,28.9,2004,5,True,5,5
269,29.0,2004,6,False,6,1
270,27.3,2004,7,False,7,3
271,28.3,2004,8,True,8,6
272,27.8,2004,9,False,9,2
273,27.8,2004,10,False,10,4
274,27.3,2004,11,False,11,0
275,26.8,2004,12,False,12,2
276,26.6,2005,1,True,1,5
277,28.5,2005,2,False,2,1
278,28.5,2005,3,False,3,1
279,28.7,2005,4,False,4,4
280,28.5,2005,5,True,5,6
281,28.8,2005,6,False,6,2
282,28.0,2005,7,False,7,4
283,28.2,2005,8,False,8,0
284,28.2,2005,9,False,9,3
285,27.6,2005,10,True,10,5
286,27.3,2005,11,False,11,1
287,27.3,2005,12,False,12,3
288,26.5,2006,1,True,1,6
289,27.5,2006,2,False,2,2
290,28.3,2006,3,False,3,2
291,27.6,2006,4,True,4,5
292,28.1,2006,5,False,5,0
293,27.8,2006,6,False,6,3
294,28.4,2006,7,True,7,5
295,28.3,2006,8,False,8,1
296,28.0,2006,9,False,9,4
297,28.3,2006,10,True,10,6
298,27.3,2006,11,False,11,2
299,26.6,2006,12,False,12,4
300,26.5,2007,1,False,1,0
301,27.3,2007,2,False,2,3
302,27.5,2007,3,False,3,3
303,28.1,2007,4,True,4,6
304,28.3,2007,5,False,5,1
305,28.4,2007,6,False,6,4
306,27.7,2007,7,True,7,6
307,27.7,2007,8,False,8,2
308,27.8,2007,9,True,9,5
309,27.8,2007,10,False,10,0
310,26.9,2007,11,False,11,3
311,26.4,2007,12,True,12,5
312,26.8,2008,1,False,1,1
313,26.7,2008,2,False,2,4
314,26.5,2008,3,True,3,5
315,28.1,2008,4,False,4,1
316,28.8,2008,5,False,5,3
317,28.2,2008,6,True,6,6
318,27.8,2008,7,False,7,1
319,27.4,2008,8,False,8,4
320,27.7,2008,9,False,9,0
321,27.6,2008,10,False,10,2
322,27.3,2008,11,True,11,5
323,26.9,2008,12,False,12,0
324,26.8,2009,1,False,1,3
325,27.3,2009,2,True,2,6
326,27.2,2009,3,True,3,6
327,28.5,2009,4,False,4,2
328,28.7,2009,5,False,5,4
329,29.1,2009,6,False,6,0
330,28.3,2009,7,False,7,2
331,28.3,2009,8,True,8,5
332,28.3,2009,9,False,9,1
333,28.2,2009,10,False,10,3
334,27.2,2009,11,True,11,6
335,27.1,2009,12,False,12,1
336,27.5,2010,1,False,1,4
337,28.9,2010,2,False,2,0
338,28.6,2010,3,False,3,0
339,28.6,2010,4,False,4,3
340,29.2,2010,5,True,5,5
341,28.3,2010,6,False,6,1
342,27.7,2010,7,False,7,3
343,27.9,2010,8,True,8,6
344,28.0,2010,9,False,9,2
345,28.3,2010,10,False,10,4
346,27.4,2010,11,False,11,0
347,26.8,2010,12,False,12,2
348,26.3,2011,1,True,1,5
349,27.3,2011,2,False,2,1
350,27.1,2011,3,False,3,1
351,27.9,2011,4,False,4,4
352,28.5,2011,5,True,5,6
353,28.4,2011,6,False,6,2
354,28.7,2011,7,False,7,4
355,27.9,2011,8,False,8,0
356,27.8,2011,9,False,9,3
357,27.3,2011,10,True,10,5
358,27.1,2011,11,False,11,1
359,26.6,2011,12,False,12,3
360,26.7,2012,1,True,1,6
361,27.2,2012,2,False,2,2
362,27.0,2012,3,False,3,3
363,27.6,2012,4,True,4,6
364,28.2,2012,5,False,5,1
365,28.7,2012,6,False,6,4
366,27.7,2012,7,True,7,6
367,27.9,2012,8,False,8,2
368,27.9,2012,9,True,9,5
369,27.7,2012,10,False,10,0
370,27.1,2012,11,False,11,3
371,26.7,2012,12,True,12,5
372,27.1,2013,1,False,1,1
373,26.5,2013,2,False,2,4
374,28.3,2013,3,False,3,4
375,28.2,2013,4,False,4,0
376,28.2,2013,5,False,5,2
377,29.0,2013,6,True,6,5
378,27.8,2013,7,False,7,0
379,27.9,2013,8,False,8,3
380,27.5,2013,9,True,9,6
381,27.7,2013,10,False,10,1
382,27.1,2013,11,False,11,4
383,26.5,2013,12,True,12,6
384,26.2,2014,1,False,1,2
385,27.2,2014,2,True,2,5
386,27.9,2014,3,True,3,5
387,28.2,2014,4,False,4,1
388,28.6,2014,5,False,5,3
389,29.0,2014,6,True,6,6
390,28.7,2014,7,False,7,1
391,27.7,2014,8,False,8,4
392,28.5,2014,9,False,9,0
393,28.4,2014,10,False,10,2
394,27.5,2014,11,True,11,5
395,27.0,2014,12,False,12,0
396,26.9,2015,1,False,1,3
397,27.0,2015,2,True,2,6
398,28.2,2015,3,True,3,6
399,28.6,2015,4,False,4,2
400,28.7,2015,5,False,5,4
401,29.0,2015,6,False,6,0
402,29.1,2015,7,False,7,2
403,28.4,2015,8,True,8,5
404,28.7,2015,9,False,9,1
405,28.7,2015,10,False,10,3
406,28.0,2015,11,True,11,6
407,27.7,2015,12,False,12,1
408,28.3,2016,1,False,1,4
409,27.8,2016,2,False,2,0
410,29.0,2016,3,False,3,1
411,29.4,2016,4,False,4,4
412,29.3,2016,5,True,5,6
413,28.5,2016,6,False,6,2
414,28.4,2016,7,False,7,4
415,28.9,2016,8,False,8,0
416,28.3,2016,9,False,9,3
417,28.3,2016,10,True,10,5
418,27.4,2016,11,False,11,1
419,27.4,2016,12,False,12,3
420,26.9,2017,1,True,1,6
421,26.9,2017,2,False,2,2
422,27.4,2017,3,False,3,2
423,27.8,2017,4,True,4,5
424,28.5,2017,5,False,5,0
425,28.5,2017,6,False,6,3
426,28.3,2017,7,True,7,5
427,28.1,2017,8,False,8,1
428,28.0,2017,9,False,9,4
429,27.9,2017,10,True,10,6
430,27.1,2017,11,False,11,2
431,27.0,2017,12,False,12,4
432,26.1,2018,1,False,1,0
433,27.2,2018,2,False,2,3
434,28.0,2018,3,False,3,3
435,28.5,2018,4,True,4,6
436,28.7,2018,5,False,5,1
437,28.4,2018,6,False,6,4
438,28.5,2018,7,True,7,6
439,28.5,2018,8,False,8,2
440,28.0,2018,9,True,9,5
441,27.9,2018,10,False,10,0
442,27.3,2018,11,False,11,3
