start_idx,end_idx,start_month,dtw_to_mean,dtw_to_median,dtw_to_prev
178,189,1996-11-01,3.4091573839841316,3.477857910348085,0.8522221548368164
179,190,1996-12-01,3.4263063110448133,3.469887460951596,1.1011112466176014
180,191,1997-01-01,3.442770266897723,3.475680271852094,0.9754730197228098
181,192,1997-02-01,3.4552702280841854,3.4800474022898267,0.9610328263584975
182,193,1997-03-01,3.4462151740763964,3.446386887308787,1.674392885799887
183,194,1997-04-01,3.4394149891465142,3.423936707375687,0.9647929621608904
184,195,1997-05-01,3.454477496727269,3.431451137549646,1.8595663024744327
185,196,1997-06-01,3.4506740401019016,3.431278485136068,0.2844444577338211
186,197,1997-07-01,3.463742134629825,3.4394266372742877,1.3325024269003205
187,198,1997-08-01,3.4557026440228165,3.47363752529145,0.7511035100155925
188,199,1997-09-01,3.470749222875295,3.4885364149758877,0.8790359245556844
189,200,1997-10-01,3.473324426919695,3.4836864093230586,1.0676679105890423
190,201,1997-11-01,3.454752536466735,3.468527254533708,0.5654381140999571
191,202,1997-12-01,3.4456323041239374,3.4530735920898805,0.7405839694423019
192,203,1998-01-01,3.4680702992367927,3.4600509396044576,1.8708507961831013
193,204,1998-02-01,3.4842806245502542,3.4675350816546007,1.3433504418922808
194,205,1998-03-01,3.4869209268709875,3.461128738565745,1.2172040440731675
195,206,1998-04-01,3.48681060228455,3.4628111997082485,0.7722923333961793
196,207,1998-05-01,3.4749705034451424,3.455188496356916,1.67125027145149
197,208,1998-06-01,3.4589300648657564,3.4430270739781914,0.9635107064988664
198,209,1998-07-01,3.447875814923312,3.452583511968964,0.8691320049032005
199,210,1998-08-01,3.4380811717614628,3.4559048983400475,1.1965547850341025
200,211,1998-09-01,3.4737694018628695,3.504482069272595,0.8874535678259654
201,212,1998-10-01,3.447940754250776,3.5120317189218935,0.7318129595955472
202,213,1998-11-01,3.431355599261536,3.4796915260636943,1.1975421161235327
203,214,1998-12-01,3.4274908236754,3.456109709792117,2.2994612959714367
204,215,1999-01-01,3.4459417513600124,3.467025671486185,1.0173585442814286
205,216,1999-02-01,3.469803861698397,3.4744561180278097,1.4521291581054216
206,217,1999-03-01,3.4743500615223106,3.4648059287486817,0.8043727520609086
207,218,1999-04-01,3.478260667166693,3.454269251316829,2.161530593334244
208,219,1999-05-01,3.4661144260155075,3.432587908494275,0.8308823150149912
209,220,1999-06-01,3.4527022932903964,3.4274100993905865,1.6920225793556007
210,221,1999-07-01,3.4459425757879814,3.4340098694340453,1.5939865899916477
211,222,1999-08-01,3.4413171505865616,3.425816984175112,0.9574719656935562
212,223,1999-09-01,3.444318187347028,3.4675113766291767,1.1727997361702076
213,224,1999-10-01,3.438461992828422,3.479466867075086,1.3935907788132609
214,225,1999-11-01,3.418791404897467,3.4587286814926728,0.49440287803025496
215,226,1999-12-01,3.420761143379529,3.456521122114329,1.1240015748522145
216,227,2000-01-01,3.428944086431987,3.4611515405077125,1.0165653440237619
217,228,2000-02-01,3.4521310854162985,3.477851067798047,1.0127277859161605
218,229,2000-03-01,3.4636162984095225,3.479633103114923,1.2180676743833958
219,230,2000-04-01,3.445383869879748,3.4369058608674736,1.0206640653532226
220,231,2000-05-01,3.4652047063586364,3.4459020975931547,2.046102296694647
221,232,2000-06-01,3.439632589693084,3.42602374345142,2.4128340993462225
222,233,2000-07-01,3.4440053840138223,3.44220511455597,1.1490029823106884
223,234,2000-08-01,3.436030756321038,3.4284594035350757,1.1655762374684837
224,235,2000-09-01,3.4288599655694036,3.4295833515480663,1.1205658807856747
225,236,2000-10-01,3.4113598371353797,3.447156706504368,0.3393094773906721
226,237,2000-11-01,3.416765042191449,3.473522988308605,1.0520114078770055
227,238,2000-12-01,3.4294520565406614,3.477448580591646,0.8209541807705519
228,239,2001-01-01,3.442777171392178,3.4707960563805242,1.0305099128802684
229,240,2001-02-01,3.457146610776638,3.47272040835012,0.7815869486034746
230,241,2001-03-01,3.457969882346978,3.456531734915377,0.9685386132350311
231,242,2001-04-01,3.443492294389058,3.4277182073163215,1.5982832496869221
