start_idx,end_idx,start_month,lb_centroid_0,dtw_centroid_0,dtw_exact_flag_centroid_0,lb_centroid_1,dtw_centroid_1,dtw_exact_flag_centroid_1,lb_centroid_2,dtw_centroid_2,dtw_exact_flag_centroid_2,lb_centroid_3,dtw_centroid_3,dtw_exact_flag_centroid_3
142,153,1993-11-01,0.4361673228307111,2.6055953899834123,True,1.3615585473534948,3.5299646617246108,True,0.009004324110809314,1.4540025984632021,True,3.79551243675619,3.79551243675619,False
143,154,1993-12-01,0.030249071024852858,1.2997969493773924,True,1.9104757910730692,4.780653349335488,True,1.5967074794937433,2.488024278456899,True,3.497186345244264,4.244168331773323,True
144,155,1994-01-01,0.08410207163037264,1.4350650937004354,True,1.5933416644449079,5.691638040452631,True,2.2453182271129926,2.6886815560466837,True,2.9821072318385378,3.3863054214452686,True
145,156,1994-02-01,0.05032935513334813,1.4947556469881935,True,1.6705307391041195,5.573815912093115,True,2.7408844932655176,3.015507414454587,True,2.4420167191548354,2.813843369001763,True
146,157,1994-03-01,0.17855905919876025,1.3702080388449722,True,1.8318746222685913,4.892036705130813,True,2.9421094234052356,3.9170456131689413,True,1.7008640371770736,2.3358675081988167,True
147,158,1994-04-01,0.7311545562965563,3.23116100673192,True,0.8908820835389014,2.4041775008684425,True,2.9826481685770734,5.279740498172852,True,0.30078972566840756,1.1482015001335235,True
148,159,1994-05-01,1.3980941825362083,4.1668628060912845,True,0.4667440086412529,1.6991170751055127,True,2.7613160661057816,4.339276156795348,True,0.7214805999620864,1.3222807878672553,True
149,160,1994-06-01,1.7869507789602095,4.8583120344397495,True,0.1685778441793545,1.1093873229064364,True,2.0376826740304774,2.9113260756569375,True,1.6017096630294527,1.9280621920169938,True
150,161,1994-07-01,2.028191384410063,5.652129899768852,True,0.186194415081105,1.0295517560234988,True,1.381171675307561,2.0605337196781077,True,2.2874182141511787,2.5030162620554477,True
151,162,1994-08-01,1.9799589005497593,4.996688103645633,True,0.27761205964062796,1.433649182543687,True,1.1169139978064464,1.545110572060315,True,2.6471186455728035,3.0533234292093065,True
152,163,1994-09-01,1.4280949496906927,3.6824889689675215,True,0.38013298478030566,2.116573888156804,True,1.265330737373422,1.6137555022462295,True,2.8469754477058222,3.9165915360045407,True
153,164,1994-10-01,0.7493773383410902,3.1966861352996063,True,0.6506998998000194,1.9903834648228909,True,0.8559733351614239,1.4447245932131896,True,3.2999955667897845,4.638416617542218,True
154,165,1994-11-01,0.4618940477967953,2.2981843990684596,True,1.4596848258116535,3.9643708423464874,True,0.7678059901517736,1.7891545727591762,True,3.627524558935728,4.7945788392315505,True
155,166,1994-12-01,0.411632844630508,1.5101825330864251,True,1.9251783678052,5.062583665465506,True,1.3240791057455532,2.1015001861594165,True,3.414210895634279,4.021667041895638,True
156,167,1995-01-01,0.4636078192497533,1.3857118984051164,True,2.3296638465936077,5.353237155094435,True,2.300589984656091,2.8001493774248654,True,2.7359732321726504,3.2831246074974643,True
157,168,1995-02-01,0.3995529210021987,1.2382066189029326,True,2.084962941894861,5.407340706130809,True,2.9143014231847277,3.7597671446218497,True,1.976080474479324,2.6181936856908403,True
158,169,1995-03-01,0.39223962371423976,2.4412430837357326,True,1.3348914652392452,4.652478109627956,True,3.461981597113932,4.631370994913186,True,0.6555527078305418,1.5587351081533698,True
159,170,1995-04-01,0.39222889593776245,3.3735597568128353,True,0.8639374068654889,1.9696981394965098,True,3.4106619809371854,4.64299591723112,True,0.6377918890780767,1.18812291371236,True
160,171,1995-05-01,1.1780312149743746,4.739905463372863,True,0.7528515572460454,1.9000303921288595,True,2.907268525410767,4.323826218281531,True,0.8319762204913239,1.3975172758305685,True
161,172,1995-06-01,2.1087504787002485,5.146052758508788,True,0.6864374571160468,1.2874360116832084,True,2.007955147672839,2.8871090703384805,True,1.643966925511896,2.151940669501641,True
162,173,1995-07-01,2.275641999485591,5.182131686828535,True,0.11586092392581122,1.2426132504470124,True,1.2451058849205634,1.7128833423938552,True,2.1916863762995535,2.4182106730640682,True
163,174,1995-08-01,1.9716537926303328,4.912080375212451,True,0.1315342509261506,1.4364735797954928,True,1.0549456502229269,1.4827843078052096,True,2.5003677026097617,3.1079611890027032,True
164,175,1995-09-01,1.193757759073328,3.7208985385533437,True,0.05728865619406154,1.7644573203081386,True,1.159559410142074,1.4092048663132204,True,2.725330643541837,3.9613543231950517,True
165,176,1995-10-01,0.09348243261907532,3.018692396804132,True,0.16664194233264176,1.9857969803267206,True,0.6151967477050437,1.0872022518664886,True,3.261627036089875,4.7221483918353755,True
166,177,1995-11-01,0.022148398896792765,2.206354991098948,True,1.251213764239988,3.6236674524971253,True,0.47642548518943967,1.209864711265268,True,3.5870610628503314,4.843163739837562,True
167,178,1995-12-01,0.0431505289092078,1.5895352504489324,True,2.133978660031446,5.464789645855066,True,0.6391266563829597,2.135037480204588,True,3.6636882006864027,4.4792542479814035,True
168,179,1996-01-01,0.16752574097794334,1.1773442373459784,True,2.4662161688664574,2.4662161688664574,False,1.808770424427766,2.8619294912261473,True,3.1830243231332442,3.4922808200684763,True
169,180,1996-02-01,0.37180764957940976,1.4669071830912592,True,2.1739070135742318,4.91695979127281,True,2.568364665756228,3.9506716744666943,True,2.4004485294578783,2.674265661859683,True
170,181,1996-03-01,0.7361221633079194,3.0127619553382856,True,1.053649014476175,3.299123509167838,True,3.362067608273249,4.9921489450214,True,0.6686719628088296,1.4205330173335735,True
171,182,1996-04-01,0.8926435602642095,3.6725967029111586,True,0.7832657875010011,1.7404732237745086,True,3.098411765090785,4.167598868536774,True,1.191858328025319,1.7150463962151388,True
172,183,1996-05-01,1.694630837464854,5.422402257447536,True,0.6770842205269056,1.5743556109022132,True,2.5739373434586326,3.2607654012908953,True,1.5184498656350727,2.058730100037874,True
173,184,1996-06-01,2.5571086973000745,2.5571086973000745,False,0.909963640541664,1.459698823975738,True,1.5106391291952503,2.7650001483734545,True,2.827300025705156,3.011139248339438,True
174,185,1996-07-01,2.422466091884167,2.422466091884167,False,0.6747551832941393,1.2426789619700165,True,0.9543166534026815,2.4456143661526997,True,3.2689937097823156,3.6414104640969915,True
175,186,1996-08-01,1.6889775802879854,4.438706380267492,True,0.7425413398839018,2.116946351605172,True,0.5717029448481382,1.4380945262087077,True,3.562641049295585,4.798972120866599,True
176,187,1996-09-01,0.9002485779649563,3.698428265172439,True,0.40074005126801004,2.11930953489357,True,0.31592381806587955,1.1908111403155193,True,3.6302895064594063,5.297041303018333,True
177,188,1996-10-01,0.4740551601030965,3.1592413573044706,True,0.752230463075294,2.770256308646289,True,0.14717610336018147,1.2513370167269477,True,3.7565053410725415,3.7565053410725415,False
178,189,1996-11-01,0.18227234130537362,1.9496081000635164,True,1.6354367702651982,3.918411091436243,True,0.3464695552713602,1.4442393902111825,True,3.7864226931037406,3.7864226931037406,False
179,190,1996-12-01,0.28166674328808616,1.301373066225883,True,2.346986694734441,5.161526542893838,True,0.9328302786861827,2.3847226492363185,True,3.62405236838802,4.4142650936346906,True
180,191,1997-01-01,0.09797524073646317,0.981263384876231,True,2.3517349932821596,5.894935223611877,True,1.9621344894559074,2.751533526506871,True,2.950057722764784,3.350848003993546,True
181,192,1997-02-01,0.33193753495356954,1.4435905505867639,True,1.8482561502611246,4.717708981745734,True,2.565142644584774,3.248977861843306,True,2.4098010391553437,2.6284155286757214,True
182,193,1997-03-01,0.7271578329855797,2.783231937157352,True,0.9553755473596374,2.599563159230265,True,3.094407478024774,4.124047907891765,True,2.0160443880198486,2.192402617141095,True
183,194,1997-04-01,1.3993435080749415,3.641700846112626,True,0.7969593503576438,1.9389931053107845,True,2.589430048665456,4.002824850732804,True,2.2988043490318835,2.406658348506051,True
184,195,1997-05-01,2.0352201623605497,5.450483006196491,True,0.4102623266483355,1.0729667847893753,True,1.8028738381356035,2.280937090927187,True,1.9625624908011674,2.13791168746171,True
185,196,1997-06-01,2.384134633909481,2.384134633909481,False,0.39060737161377107,1.0355402835798921,True,1.0915711856595292,1.5621735174935625,True,2.235786027925631,2.5164360414635567,True
186,197,1997-07-01,2.033151272315188,4.019930804698369,True,0.39007709879927366,1.8464552117699922,True,0.7741995944213139,1.2128999840969639,True,2.3356496093489603,3.5858105602122574,True
187,198,1997-08-01,0.9574054335101619,2.9752876967908035,True,0.5814337322595253,2.625481622843107,True,1.2438686917069803,1.5798692532828014,True,2.546048674988786,4.06459354056383,True
188,199,1997-09-01,0.12579505853808443,2.517450176738744,True,1.4224910802958701,3.646725948929762,True,1.944961799089178,2.1537319611612347,True,2.542796933944031,3.668446707438358,True
189,200,1997-10-01,0.23107304295647962,1.8545470193506115,True,1.4263104074314765,4.805260383747025,True,2.002743354806521,2.1455637846340525,True,2.67797356804454,3.1965435218801153,True
190,201,1997-11-01,0.2440920514149139,1.5282481428418575,True,1.8328026767818157,4.790319459022409,True,2.0279634585572244,2.363567731223306,True,2.7054673761560557,2.971369752598257,True
