start_idx,end_idx,cluster_id,start_month,dist_to_centroid_pca_0,dist_to_centroid_pca_1,dist_to_centroid_pca_2,dist_to_centroid_pca_3,lb_centroid_0,dtw_centroid_0,dtw_exact_flag_centroid_0,lb_centroid_1,dtw_centroid_1,dtw_exact_flag_centroid_1,lb_centroid_2,dtw_centroid_2,dtw_exact_flag_centroid_2,lb_centroid_3,dtw_centroid_3,dtw_exact_flag_centroid_3,dtw_to_mean,dtw_to_median,dtw_to_prev
55,66,1,1986-08-01,5.532857393391294,2.2546479455383364,2.745348554873316,5.281597975038778,2.144294234677615,5.032213240706665,True,0.4502909503946684,1.584654071766354,True,1.2745338142760048,1.7770425254878053,True,2.8309461339877293,3.519177172286833,True,3.466907180108053,3.5017878277062326,0.8256496178468627
56,67,2,1986-09-01,4.779093278452173,3.8448391943520197,1.676066715171108,5.824363163599789,1.2278407695805234,2.8927930599150637,True,0.7452112724428562,2.44397070916638,True,0.6234028751420084,1.3260324939315535,True,3.3665230437808997,5.311956879553682,True,3.4604030444139116,3.5163695409366076,1.883693853341299
57,68,2,1986-10-01,4.024401482315963,4.5938684167401584,0.8858375208170473,5.790440585161591,0.5480360708619868,2.8064397554159806,True,0.6702867500121559,2.5675032964629825,True,0.6311260228601512,1.2137219523805014,True,3.581940426583724,5.515546806518588,True,3.442662255762332,3.4832549559387984,0.3618939961200128
58,69,2,1986-11-01,3.3095519678630643,5.1134022284437055,2.190882648728749,5.620226506141035,0.6170134912326093,2.6883173095322213,True,1.2530123852361679,3.7237231342121664,True,0.633111622795052,1.4160064455636872,True,3.820629383396898,3.820629383396898,False,3.4201970312586303,3.4606229510833155,0.6042415615921297
59,70,0,1986-12-01,2.237122164392727,5.357818395865638,3.2590970492172464,5.200197243248805,0.640854379492074,1.8193161099038677,True,2.212273823355607,5.154635821793383,True,0.8192416399499172,1.8578139867472525,True,3.863698783387075,3.863698783387075,False,3.4178089238958536,3.4589550488699734,0.9332719731027236
60,71,0,1987-01-01,1.598250478548113,5.598685206305911,4.382260516866357,4.642739850832744,0.6806280432948512,1.2123188947756582,True,2.7716076381079846,2.7716076381079846,False,1.7581800046831737,3.114914449857563,True,3.4174653671964315,3.8112653667408614,True,3.435136016962413,3.468584804446149,1.4995630844350787
61,72,0,1987-02-01,1.690270360969403,5.374624180410862,4.946066921871805,3.3300143765328616,0.7025764092922198,1.413394706667077,True,2.2255307032135065,5.422522515760089,True,2.769891393497262,3.755773613663766,True,2.240807421978025,2.6398844529296746,True,3.4600215384881516,3.4769870409710237,1.2279344066700264
62,73,3,1987-03-01,3.5034672563333302,5.071072170406389,5.577882319240225,2.2446942442726563,0.8949828203162198,2.5478770310348637,True,1.2782362648068593,4.09615247143997,True,3.343373668419484,4.657385934911176,True,1.0449304045310785,1.705614991494072,True,3.4635750667287155,3.4615716226902404,1.4508762237311823
63,74,3,1987-04-01,4.252709106305594,4.360222437574921,5.642086032934589,1.191177908652011,0.8850536611267191,3.34309192871747,True,1.1473053754907374,3.1569134147438915,True,3.358688636790986,4.6586450039238825,True,0.8991197323322201,1.5174621380763709,True,3.4662382470959185,3.4512194891097288,0.8124434035378487
64,75,3,1987-05-01,4.979025561958914,3.465931318513983,5.559212054992845,2.0000812157769596,1.465323396188636,3.6687908980911303,True,1.2120036266758558,2.105396614171913,True,2.876965624497573,4.3468301734431,True,1.1955209460029266,1.7080589434348141,True,3.455720965292891,3.4300476572474663,1.008529795948919
65,76,1,1987-06-01,5.692601006265459,2.2369037572145105,5.083019379906097,3.514419013717811,2.400137074959587,2.400137074959587,False,0.8893126511790822,1.3987072302818075,True,2.1887372671902967,3.187099660403812,True,1.8644064370856603,2.4008686513787714,True,3.4597447291665184,3.440491729764651,1.867672209958993
66,77,1,1987-07-01,5.588320335705986,0.9597599379251437,4.302854142510203,4.393944368783972,2.4039096298086005,2.4039096298086005,False,0.45750591035643307,1.4037882137841462,True,1.2093362704681394,1.783218043548247,True,2.473286432627497,2.714669843221843,True,3.446300890369831,3.4295498808565776,0.979867083737359
67,78,1,1987-08-01,5.328487817712549,2.7935590256481047,3.4742095338142756,5.206710866599995,1.6100772280945632,3.993360288425511,True,0.577897810589578,2.3094143304716668,True,1.2888541341126079,1.6223902676857842,True,2.750109495895309,3.375691903734583,True,3.4338782437261544,3.4402517810729702,1.6999580971013581
68,79,2,1987-09-01,4.814429483390652,4.116414129856519,2.4191773427547107,5.345515727073611,0.5994752119791489,3.4486900670277856,True,0.7485790892930463,2.880079396074344,True,1.6824838642276279,1.9308709196531728,True,2.723794110975589,3.613234705205962,True,3.465535811040323,3.466537275142615,0.694420821851184
69,80,2,1987-10-01,4.102157308202079,5.16705988360542,2.383196080151472,5.25894287525377,0.6880032269662771,3.2060434234342927,True,0.8366322402045038,3.331432292621709,True,1.8206681576513661,2.076126336842729,True,2.8992195308393502,3.6866040253464103,True,3.4512429977819146,3.503821179829816,0.7327664068967817
70,81,0,1987-11-01,2.8641213051476657,5.634123316616871,3.212990460387361,4.837523094889836,0.7006649253611297,2.594542494697285,True,1.8632283641902212,3.8420948120282934,True,1.4765102829766148,1.900514608568143,True,3.1949352642749793,3.989877381405063,True,3.4278116250756945,3.4614634245396423,1.3560400280597498
71,82,0,1987-12-01,1.551764833992564,5.738563738866803,4.4946102788765145,4.2410572787121605,0.6368742135837214,1.6072435027837828,True,2.6002377597813395,2.6002377597813395,False,2.129868767174526,2.9360557231875823,True,2.7315787039047854,3.4577407751530433,True,3.445958963011706,3.4591895447299934,2.453098205441695
72,83,0,1988-01-01,2.148259249675977,5.505674369927244,5.318873029773814,3.4711131640578006,0.653843197919118,1.7986801131525851,True,2.207106788459757,5.1342841559960055,True,2.826812975180897,3.6482759092254056,True,1.7653024212073198,2.5957718370357106,True,3.4642934698117824,3.4679521972393514,0.7540928610928125
73,84,3,1988-02-01,3.3123056663697947,5.110049789128132,5.753524345919918,2.519097178773901,0.6088240937962348,2.251223880228246,True,1.467148627296071,4.76366496773508,True,3.3458222685333583,4.638412586913588,True,1.0825559939983764,1.7696326687975628,True,3.467351660490825,3.4593946859613354,0.7937484455405881
74,85,3,1988-03-01,4.2653746074471535,4.627303789564612,5.811068497142985,1.5492613594624889,0.5075179852815248,2.778262011825974,True,1.1741933355215624,3.914951185164364,True,3.507855627603893,4.664517795648482,True,0.6867709689310735,1.3735367459040664,True,3.469968871541882,3.4503848507815276,0.5061276833900071
75,86,3,1988-04-01,4.809999026846812,4.244523892991073,5.630918589797764,1.7833790027711824,0.8699736919584552,4.081809679407166,True,1.3558729433389693,3.727578637212578,True,3.427159584810111,4.844977201066828,True,0.5492744934014919,1.5624434471343451,True,3.482026596173445,3.455636905936997,0.9685443636226108
76,87,3,1988-05-01,5.186910588653292,3.599718591816571,5.406053999162286,2.3384626990231396,1.8708391644791103,5.068578759808885,True,1.3130116809819319,2.658532748381125,True,3.1541729698995358,4.798564034434584,True,0.7891337262625481,1.9410746808998318,True,3.473230310267773,3.4456716994331256,1.5583084711229944
77,88,1,1988-06-01,5.447369062141532,2.7445144261973855,5.260354727683147,2.9491717956362598,2.1367259695841345,5.165521812521323,True,1.162859784285542,2.0183126420251356,True,2.6497603892020827,3.6697064322023296,True,1.2490834971049054,2.3809083294198143,True,3.4673756713850192,3.436174209645238,1.0820689677536726
78,89,1,1988-07-01,5.549103595971543,1.4137443189788956,4.640635873935505,3.6627151237750413,1.7432885018291855,5.272846372467443,True,0.4074600540570459,1.733171829122389,True,1.5874048759320218,2.413519412689329,True,2.066544380493868,2.738719115471849,True,3.4544527480768097,3.432339488224554,1.3658358075119275
79,90,1,1988-08-01,5.65180491155768,1.7147427430616493,3.7643581960233448,4.654755942119158,1.5865101418127916,5.551038267154076,True,0.2996419709240437,1.7361826497269979,True,1.2584430692846285,2.0515217711055476,True,2.8180449220171893,3.09823019688322,True,3.4399458654403197,3.4180973699507504,0.8405901133928136
80,91,2,1988-09-01,5.29671085844779,2.5211199010157634,2.4444225192756734,5.304221266529587,1.4768197026689678,4.410507240901938,True,0.26848192785725666,1.933165096890139,True,1.2163274771490555,1.6536405172565944,True,3.099296801388455,3.6005434264836738,True,3.44963009401382,3.44907332687909,1.2254867861308287
